Stock,Market Cap,P/E Ratio,Forward P/E,PEG Ratio,P/S Ratio,P/B Ratio,EV/EBITDA,Debt to Equity,ROE (%),ROA (%),ROI (%),Gross Margin,Operating Margin,Profit Margin,Dividend Yield,Beta
BAJFINANCE.NS,6370804891648.0,36.520657,24.460358,,16.429941,6.584185,,294.158,18.009089235221442,,1.8775183155485535,0.92751,0.60695,0.44939,0.44,0.468
PNB.NS,1303644471296.0,7.7426624,8.07331,,2.483394,0.9791701,,,12.486553654244013,,7.039099217206483,0.0,0.44065,0.31669,2.57,0.57
ADANIPORTS.NS,3114487513088.0,27.574598,43.13585,,9.54043,5.0009885,18.748,79.193,18.13760337037819,,3.112146181617289,0.66256,0.46465,0.34596002,0.48,0.424
TITAN.NS,3050725965824.0,82.19885,61.217514,,4.788232,26.267069,55.59,178.742,31.969316292833593,,1.139482718491357,0.21545,0.09962,0.058280002,0.32,0.299
ADANIENT.NS,3089577803776.0,49.17141,40.71499,,3.2734282,6.4773602,30.298,162.597,13.06659231755364,,1.5548424258289877,0.48520002,0.09227,0.06758,0.05,0.624
CIPLA.NS,1233539039232.0,22.867624,24.033678,,4.488923,3.953749,16.145,1.404,17.284084030598112,,4.356050318964369,0.66691,0.22311,0.19624001,0.84,0.102
HINDALCO.NS,1656451629056.0,9.796428,10.646895,,0.6741354,1.3388114,6.272,53.056,13.684320096333563,,7.320336952511673,0.32362998,0.09327,0.068909995,0.67,1.004
ONGC.NS,2979505635328.0,8.257502,6.6235657,,0.4533598,0.86688966,5.393,50.187,10.498262988603692,,7.4223255961290135,0.18049,0.1013,0.05486,6.21,0.377
BAJAJFINSV.NS,3327216582656.0,35.340794,42.18579,,2.4535496,4.5952077,12.853,221.494,13.15309433973696,,1.543053423037145,0.50422,0.40112,0.07023,0.05,0.636
IDFCFIRSTB.NS,517450694656.0,40.52299,12.768971,,2.4662094,1.3295746,,,3.343344465038476,,1.3760298471537389,0.0,0.10383,0.06202,0.35,0.578
EICHERMOT.NS,1917340221440.0,39.62195,32.68808,,9.892324,8.999342,42.126,2.151,22.708863157893425,,2.5173765217068205,0.43655,0.19928,0.24962,1.01,0.135
DRREDDY.NS,1089199603712.0,19.224215,3.8133545,3.279,3.25854,3.111112,11.957,13.751,16.226389839553825,,4.992074536538784,0.57653,0.20497,0.16993,0.61,0.32
POWERGRID.NS,2684154281984.0,18.0375,13.568406,,5.8373566,2.8930593,10.129,145.251,16.628852318217255,,3.8282234008019658,1.0,0.53735,0.33551997,4.1,0.264
JSWSTEEL.NS,2778756284416.0,57.582195,17.22707,,1.6439621,3.4948225,14.234,122.497,6.094279205296485,,1.2815097094438999,0.41368,0.11679,0.02865,0.25,0.614
WIPRO.NS,2614279798784.0,19.47192,9.874604,2.7233,2.928863,3.0080616,13.047,18.233,15.491672980968673,,4.85485876449167,0.30344,0.16057,0.15083,4.39,0.604
COALINDIA.NS,2428423110656.0,7.3243494,15.495477,,1.9324154,2.4509864,4.738,9.15,33.456153270044744,,13.154656510384575,0.67569,0.31208,0.26378,8.11,0.039
M&M.NS,4398994948096.0,29.5697,26.729736,,2.5924375,5.2376475,16.053,145.369,16.34732520905729,,2.4111856631136566,0.3937,0.16755,0.08091,0.71,0.511
SBIN.NS,8036175314944.0,9.778727,10.531027,,2.2935338,1.4928187,,,14.756561279994168,,5.715826833871949,0.0,0.35021,0.22672,1.86,0.481
BRITANNIA.NS,1429312372736.0,65.31646,72.92614,,7.828687,32.814625,45.935,28.451,50.36621175647088,,1.5216009850519707,0.39445,0.14604001,0.12016,1.24,0.535
SHREECEM.NS,1075171164160.0,72.148224,34.52152,,5.530787,4.990519,22.596,4.848,6.903321295310836,,1.3695427267319646,0.62664,0.12854,0.07648,0.4,0.235
HINDUNILVR.NS,5926138937344.0,54.782795,49.196926,,9.2700205,11.995739,41.776,3.322,21.8513257580969,,1.8165391255635057,0.50698,0.20327999,0.16886,1.87,0.381
NTPC.NS,3326936875008.0,18.825468,14.238273,,1.7822125,1.8067276,10.901,130.856,13.014974932026341,,4.111073672024969,0.44237998,0.16983,0.12835,3.42,0.286
TATACONSUM.NS,1116697919488.0,83.90334,75.53548,,6.1883583,5.5829577,47.921,11.186,6.610870712993383,,1.1592770026485024,0.40660998,0.09584,0.07328,0.73,0.39
SUNPHARMA.NS,3913794977792.0,37.724327,49.914318,,7.277811,5.419413,24.184,3.259,14.362127251002853,,2.6342270696664754,0.78248,0.24344999,0.19287,0.97,0.313
FEDERALBNK.NS,479600050176.0,11.94186,16.692045,,3.542349,1.3881637,,,11.721414106805621,,5.027146555297435,0.0,0.38036,0.29911,0.62,0.332
UPL.NS,556514541568.0,50.088757,14.120101,,1.1894895,1.9575197,11.797,66.354,4.070532229933986,,1.308971010242509,0.48235,0.062069997,0.0255,0.88,0.644
HCLTECH.NS,3873765326848.0,22.825672,20.355925,,276.28308,475.01663,1349.962,9.377,24.463491669632123,,0.051490113528753,0.34719002,0.16305,0.14229,3.75,0.233
BHARTIARTL.NS,11623539408896.0,32.92629,28.791754,,6.3191533,9.8616905,15.38,126.505,31.552373380429295,,2.5879681119927835,0.65817,0.31081,0.19215,0.82,0.166
INFY.NS,6207577260032.0,22.093538,20.706581,4.2694,318.272,560.8614,1382.574,8.894,28.948490978779585,,0.05160611751260405,0.29834998,0.20886,0.16427,4.2,0.353
NESTLEIND.NS,2253042483200.0,72.30198,60.22836,,11.02765,56.183884,50.059,29.106,77.49339166313618,,1.372172867730023,0.55291003,0.1851,0.1521,1.68,0.246
