Metric,Date,Value,Stock
Free Cash Flow,2025-06-30 00:00:00,4482000000.0,DRREDDY.NS
Repayment Of Debt,2025-06-30 00:00:00,-326000000.0,DRREDDY.NS
Issuance Of Debt,2025-06-30 00:00:00,,DRREDDY.NS
Issuance Of Capital Stock,2025-06-30 00:00:00,196000000.0,DRREDDY.NS
Capital Expenditure,2025-06-30 00:00:00,-10147000000.0,DRREDDY.NS
End Cash Position,2025-06-30 00:00:00,9004000000.0,DRREDDY.NS
Beginning Cash Position,2025-06-30 00:00:00,14593000000.0,DRREDDY.NS
Effect Of Exchange Rate Changes,2025-06-30 00:00:00,177000000.0,DRREDDY.NS
Changes In Cash,2025-06-30 00:00:00,-5766000000.0,DRREDDY.NS
Financing Cash Flow,2025-06-30 00:00:00,-1203000000.0,DRREDDY.NS
Cash Flow From Continuing Financing Activities,2025-06-30 00:00:00,-1203000000.0,DRREDDY.NS
Interest Paid Cff,2025-06-30 00:00:00,-1143000000.0,DRREDDY.NS
Cash Dividends Paid,2025-06-30 00:00:00,0.0,DRREDDY.NS
Net Common Stock Issuance,2025-06-30 00:00:00,196000000.0,DRREDDY.NS
Common Stock Issuance,2025-06-30 00:00:00,196000000.0,DRREDDY.NS
Net Issuance Payments Of Debt,2025-06-30 00:00:00,-256000000.0,DRREDDY.NS
Net Short Term Debt Issuance,2025-06-30 00:00:00,70000000.0,DRREDDY.NS
Net Long Term Debt Issuance,2025-06-30 00:00:00,-326000000.0,DRREDDY.NS
Long Term Debt Payments,2025-06-30 00:00:00,-326000000.0,DRREDDY.NS
Long Term Debt Issuance,2025-06-30 00:00:00,,DRREDDY.NS
Investing Cash Flow,2025-06-30 00:00:00,-19192000000.0,DRREDDY.NS
Cash Flow From Continuing Investing Activities,2025-06-30 00:00:00,-19192000000.0,DRREDDY.NS
Interest Received Cfi,2025-06-30 00:00:00,835000000.0,DRREDDY.NS
Dividends Received Cfi,2025-06-30 00:00:00,,DRREDDY.NS
Net Investment Purchase And Sale,2025-06-30 00:00:00,-9861000000.0,DRREDDY.NS
Sale Of Investment,2025-06-30 00:00:00,41739000000.0,DRREDDY.NS
Purchase Of Investment,2025-06-30 00:00:00,-51600000000.0,DRREDDY.NS
Net Business Purchase And Sale,2025-06-30 00:00:00,-51000000.0,DRREDDY.NS
Purchase Of Business,2025-06-30 00:00:00,-51000000.0,DRREDDY.NS
Net Intangibles Purchase And Sale,2025-06-30 00:00:00,-3286000000.0,DRREDDY.NS
Sale Of Intangibles,2025-06-30 00:00:00,,DRREDDY.NS
Purchase Of Intangibles,2025-06-30 00:00:00,-3286000000.0,DRREDDY.NS
Net PPE Purchase And Sale,2025-06-30 00:00:00,-6829000000.0,DRREDDY.NS
Sale Of PPE,2025-06-30 00:00:00,32000000.0,DRREDDY.NS
Purchase Of PPE,2025-06-30 00:00:00,-6861000000.0,DRREDDY.NS
Capital Expenditure Reported,2025-06-30 00:00:00,,DRREDDY.NS
Operating Cash Flow,2025-06-30 00:00:00,14629000000.0,DRREDDY.NS
Cash Flow From Continuing Operating Activities,2025-06-30 00:00:00,14629000000.0,DRREDDY.NS
Taxes Refund Paid,2025-06-30 00:00:00,-3188000000.0,DRREDDY.NS
Change In Working Capital,2025-06-30 00:00:00,-8191000000.0,DRREDDY.NS
Change In Other Working Capital,2025-06-30 00:00:00,-3437000000.0,DRREDDY.NS
Change In Payables And Accrued Expense,2025-06-30 00:00:00,6203000000.0,DRREDDY.NS
Change In Payable,2025-06-30 00:00:00,6203000000.0,DRREDDY.NS
Change In Inventory,2025-06-30 00:00:00,-6150000000.0,DRREDDY.NS
Change In Receivables,2025-06-30 00:00:00,-4807000000.0,DRREDDY.NS
Other Non Cash Items,2025-06-30 00:00:00,-298000000.0,DRREDDY.NS
Stock Based Compensation,2025-06-30 00:00:00,112000000.0,DRREDDY.NS
Unrealized Gain Loss On Investment Securities,2025-06-30 00:00:00,-730000000.0,DRREDDY.NS
Provisionand Write Offof Assets,2025-06-30 00:00:00,215000000.0,DRREDDY.NS
Asset Impairment Charge,2025-06-30 00:00:00,1635000000.0,DRREDDY.NS
Deferred Tax,2025-06-30 00:00:00,4951000000.0,DRREDDY.NS
Deferred Income Tax,2025-06-30 00:00:00,4951000000.0,DRREDDY.NS
Depreciation Amortization Depletion,2025-06-30 00:00:00,4765000000.0,DRREDDY.NS
Depreciation And Amortization,2025-06-30 00:00:00,4765000000.0,DRREDDY.NS
Amortization Cash Flow,2025-06-30 00:00:00,1871000000.0,DRREDDY.NS
Amortization Of Intangibles,2025-06-30 00:00:00,1871000000.0,DRREDDY.NS
Depreciation,2025-06-30 00:00:00,2894000000.0,DRREDDY.NS
Operating Gains Losses,2025-06-30 00:00:00,1262000000.0,DRREDDY.NS
Earnings Losses From Equity Investments,2025-06-30 00:00:00,-2000000.0,DRREDDY.NS
Net Foreign Currency Exchange Gain Loss,2025-06-30 00:00:00,1224000000.0,DRREDDY.NS
Net Income From Continuing Operations,2025-06-30 00:00:00,14096000000.0,DRREDDY.NS
Free Cash Flow,2025-03-31 00:00:00,10750000000.0,DRREDDY.NS
Repayment Of Debt,2025-03-31 00:00:00,-253000000.0,DRREDDY.NS
Issuance Of Debt,2025-03-31 00:00:00,0.0,DRREDDY.NS
Issuance Of Capital Stock,2025-03-31 00:00:00,-7045000000.0,DRREDDY.NS
Capital Expenditure,2025-03-31 00:00:00,-11246000000.0,DRREDDY.NS
End Cash Position,2025-03-31 00:00:00,14593000000.0,DRREDDY.NS
Beginning Cash Position,2025-03-31 00:00:00,13032000000.0,DRREDDY.NS
Effect Of Exchange Rate Changes,2025-03-31 00:00:00,235000000.0,DRREDDY.NS
Changes In Cash,2025-03-31 00:00:00,1326000000.0,DRREDDY.NS
Financing Cash Flow,2025-03-31 00:00:00,-7370000000.0,DRREDDY.NS
Cash Flow From Continuing Financing Activities,2025-03-31 00:00:00,-7370000000.0,DRREDDY.NS
Interest Paid Cff,2025-03-31 00:00:00,-846000000.0,DRREDDY.NS
Cash Dividends Paid,2025-03-31 00:00:00,0.0,DRREDDY.NS
Net Common Stock Issuance,2025-03-31 00:00:00,-8434000000.0,DRREDDY.NS
Common Stock Issuance,2025-03-31 00:00:00,-7045000000.0,DRREDDY.NS
Net Issuance Payments Of Debt,2025-03-31 00:00:00,-5146000000.0,DRREDDY.NS
Net Short Term Debt Issuance,2025-03-31 00:00:00,-4893000000.0,DRREDDY.NS
Net Long Term Debt Issuance,2025-03-31 00:00:00,-253000000.0,DRREDDY.NS
Long Term Debt Payments,2025-03-31 00:00:00,-253000000.0,DRREDDY.NS
Long Term Debt Issuance,2025-03-31 00:00:00,0.0,DRREDDY.NS
Investing Cash Flow,2025-03-31 00:00:00,-13300000000.0,DRREDDY.NS
