Metric,Date,Value,Stock
Tax Effect Of Unusual Items,2025-06-30 00:00:00,0.0,BAJFINANCE.NS
Tax Rate For Calcs,2025-06-30 00:00:00,0.251632,BAJFINANCE.NS
Net Income From Continuing Operation Net Minority Interest,2025-06-30 00:00:00,46996100000.0,BAJFINANCE.NS
Reconciled Depreciation,2025-06-30 00:00:00,2514900000.0,BAJFINANCE.NS
Net Interest Income,2025-06-30 00:00:00,102269700000.0,BAJFINANCE.NS
Interest Expense,2025-06-30 00:00:00,69176800000.0,BAJFINANCE.NS
Interest Income,2025-06-30 00:00:00,171446500000.0,BAJFINANCE.NS
Normalized Income,2025-06-30 00:00:00,46996100000.0,BAJFINANCE.NS
Net Income From Continuing And Discontinued Operation,2025-06-30 00:00:00,46996100000.0,BAJFINANCE.NS
Diluted Average Shares,2025-06-30 00:00:00,6224649007.0,BAJFINANCE.NS
Basic Average Shares,2025-06-30 00:00:00,6208203435.0,BAJFINANCE.NS
Diluted EPS,2025-06-30 00:00:00,7.55,BAJFINANCE.NS
Basic EPS,2025-06-30 00:00:00,7.57,BAJFINANCE.NS
Diluted NI Availto Com Stockholders,2025-06-30 00:00:00,46996100000.0,BAJFINANCE.NS
Net Income Common Stockholders,2025-06-30 00:00:00,46996100000.0,BAJFINANCE.NS
Net Income,2025-06-30 00:00:00,46996100000.0,BAJFINANCE.NS
Minority Interests,2025-06-30 00:00:00,-656800000.0,BAJFINANCE.NS
Net Income Including Noncontrolling Interests,2025-06-30 00:00:00,47652900000.0,BAJFINANCE.NS
Net Income Continuous Operations,2025-06-30 00:00:00,47652900000.0,BAJFINANCE.NS
Tax Provision,2025-06-30 00:00:00,16022900000.0,BAJFINANCE.NS
Pretax Income,2025-06-30 00:00:00,63675800000.0,BAJFINANCE.NS
Gain On Sale Of Security,2025-06-30 00:00:00,2253000000.0,BAJFINANCE.NS
Operating Expense,2025-06-30 00:00:00,33555200000.0,BAJFINANCE.NS
Other Operating Expenses,2025-06-30 00:00:00,10014700000.0,BAJFINANCE.NS
Depreciation And Amortization In Income Statement,2025-06-30 00:00:00,2514900000.0,BAJFINANCE.NS
Depreciation Income Statement,2025-06-30 00:00:00,2514900000.0,BAJFINANCE.NS
Total Revenue,2025-06-30 00:00:00,118425700000.0,BAJFINANCE.NS
Operating Revenue,2025-06-30 00:00:00,118425700000.0,BAJFINANCE.NS
Tax Effect Of Unusual Items,2025-03-31 00:00:00,0.0,BAJFINANCE.NS
Tax Rate For Calcs,2025-03-31 00:00:00,0.195101,BAJFINANCE.NS
Net Income From Continuing Operation Net Minority Interest,2025-03-31 00:00:00,44795700000.0,BAJFINANCE.NS
Reconciled Depreciation,2025-03-31 00:00:00,2520100000.0,BAJFINANCE.NS
Net Interest Income,2025-03-31 00:00:00,98330900000.0,BAJFINANCE.NS
Interest Expense,2025-03-31 00:00:00,65519800000.0,BAJFINANCE.NS
Interest Income,2025-03-31 00:00:00,163850700000.0,BAJFINANCE.NS
Normalized Income,2025-03-31 00:00:00,44795700000.0,BAJFINANCE.NS
Net Income From Continuing And Discontinued Operation,2025-03-31 00:00:00,44795700000.0,BAJFINANCE.NS
Diluted Average Shares,2025-03-31 00:00:00,,BAJFINANCE.NS
Basic Average Shares,2025-03-31 00:00:00,,BAJFINANCE.NS
Diluted EPS,2025-03-31 00:00:00,,BAJFINANCE.NS
Basic EPS,2025-03-31 00:00:00,,BAJFINANCE.NS
Diluted NI Availto Com Stockholders,2025-03-31 00:00:00,44795700000.0,BAJFINANCE.NS
Net Income Common Stockholders,2025-03-31 00:00:00,44795700000.0,BAJFINANCE.NS
Net Income,2025-03-31 00:00:00,44795700000.0,BAJFINANCE.NS
Minority Interests,2025-03-31 00:00:00,-660000000.0,BAJFINANCE.NS
Net Income Including Noncontrolling Interests,2025-03-31 00:00:00,45455700000.0,BAJFINANCE.NS
Net Income Continuous Operations,2025-03-31 00:00:00,45455700000.0,BAJFINANCE.NS
Tax Provision,2025-03-31 00:00:00,11018100000.0,BAJFINANCE.NS
Pretax Income,2025-03-31 00:00:00,56473800000.0,BAJFINANCE.NS
Gain On Sale Of Security,2025-03-31 00:00:00,704400000.0,BAJFINANCE.NS
Operating Expense,2025-03-31 00:00:00,31849100000.0,BAJFINANCE.NS
Other Operating Expenses,2025-03-31 00:00:00,2092300000.0,BAJFINANCE.NS
Depreciation And Amortization In Income Statement,2025-03-31 00:00:00,2520100000.0,BAJFINANCE.NS
Depreciation Income Statement,2025-03-31 00:00:00,2520100000.0,BAJFINANCE.NS
Total Revenue,2025-03-31 00:00:00,111879100000.0,BAJFINANCE.NS
Operating Revenue,2025-03-31 00:00:00,111879100000.0,BAJFINANCE.NS
Tax Effect Of Unusual Items,2024-12-31 00:00:00,0.0,BAJFINANCE.NS
Tax Rate For Calcs,2024-12-31 00:00:00,0.252753,BAJFINANCE.NS
Net Income From Continuing Operation Net Minority Interest,2024-12-31 00:00:00,42465400000.0,BAJFINANCE.NS
Reconciled Depreciation,2024-12-31 00:00:00,2191300000.0,BAJFINANCE.NS
Net Interest Income,2024-12-31 00:00:00,93825800000.0,BAJFINANCE.NS
Interest Expense,2024-12-31 00:00:00,63856300000.0,BAJFINANCE.NS
Interest Income,2024-12-31 00:00:00,157682100000.0,BAJFINANCE.NS
Normalized Income,2024-12-31 00:00:00,42465400000.0,BAJFINANCE.NS
Net Income From Continuing And Discontinued Operation,2024-12-31 00:00:00,42465400000.0,BAJFINANCE.NS
Diluted Average Shares,2024-12-31 00:00:00,6673801666.0,BAJFINANCE.NS
Basic Average Shares,2024-12-31 00:00:00,6673801666.0,BAJFINANCE.NS
Diluted EPS,2024-12-31 00:00:00,6.363,BAJFINANCE.NS
Basic EPS,2024-12-31 00:00:00,6.363,BAJFINANCE.NS
Diluted NI Availto Com Stockholders,2024-12-31 00:00:00,42465400000.0,BAJFINANCE.NS
Net Income Common Stockholders,2024-12-31 00:00:00,42465400000.0,BAJFINANCE.NS
Net Income,2024-12-31 00:00:00,42465400000.0,BAJFINANCE.NS
Minority Interests,2024-12-31 00:00:00,-616500000.0,BAJFINANCE.NS
Net Income Including Noncontrolling Interests,2024-12-31 00:00:00,43081900000.0,BAJFINANCE.NS
Net Income Continuous Operations,2024-12-31 00:00:00,43081900000.0,BAJFINANCE.NS
Tax Provision,2024-12-31 00:00:00,14572300000.0,BAJFINANCE.NS
Pretax Income,2024-12-31 00:00:00,57654200000.0,BAJFINANCE.NS
Gain On Sale Of Security,2024-12-31 00:00:00,1645900000.0,BAJFINANCE.NS
Operating Expense,2024-12-31 00:00:00,31816300000.0,BAJFINANCE.NS
Other Operating Expenses,2024-12-31 00:00:00,10069600000.0,BAJFINANCE.NS
Depreciation And Amortization In Income Statement,2024-12-31 00:00:00,2191300000.0,BAJFINANCE.NS
Depreciation Income Statement,2024-12-31 00:00:00,2191300000.0,BAJFINANCE.NS
Total Revenue,2024-12-31 00:00:00,109873600000.0,BAJFINANCE.NS
Operating Revenue,2024-12-31 00:00:00,109873600000.0,BAJFINANCE.NS
Tax Effect Of Unusual Items,2024-09-30 00:00:00,0.0,BAJFINANCE.NS
Tax Rate For Calcs,2024-09-30 00:00:00,0.256918,BAJFINANCE.NS
Net Income From Continuing Operation Net Minority Interest,2024-09-30 00:00:00,39997300000.0,BAJFINANCE.NS
Reconciled Depreciation,2024-09-30 00:00:00,2100400000.0,BAJFINANCE.NS
Net Interest Income,2024-09-30 00:00:00,88377000000.0,BAJFINANCE.NS
Interest Expense,2024-09-30 00:00:00,61493200000.0,BAJFINANCE.NS
Interest Income,2024-09-30 00:00:00,149870200000.0,BAJFINANCE.NS
Normalized Income,2024-09-30 00:00:00,39997300000.0,BAJFINANCE.NS
Net Income From Continuing And Discontinued Operation,2024-09-30 00:00:00,39997300000.0,BAJFINANCE.NS
Diluted Average Shares,2024-09-30 00:00:00,6201131783.0,BAJFINANCE.NS
Basic Average Shares,2024-09-30 00:00:00,6185787195.0,BAJFINANCE.NS
Diluted EPS,2024-09-30 00:00:00,6.45,BAJFINANCE.NS
Basic EPS,2024-09-30 00:00:00,6.466,BAJFINANCE.NS
Diluted NI Availto Com Stockholders,2024-09-30 00:00:00,39997300000.0,BAJFINANCE.NS
Net Income Common Stockholders,2024-09-30 00:00:00,39997300000.0,BAJFINANCE.NS
Net Income,2024-09-30 00:00:00,39997300000.0,BAJFINANCE.NS
Minority Interests,2024-09-30 00:00:00,-140100000.0,BAJFINANCE.NS
Net Income Including Noncontrolling Interests,2024-09-30 00:00:00,40137400000.0,BAJFINANCE.NS
Net Income Continuous Operations,2024-09-30 00:00:00,40137400000.0,BAJFINANCE.NS
Tax Provision,2024-09-30 00:00:00,13877400000.0,BAJFINANCE.NS
Pretax Income,2024-09-30 00:00:00,54014800000.0,BAJFINANCE.NS
Gain On Sale Of Security,2024-09-30 00:00:00,1483600000.0,BAJFINANCE.NS
Operating Expense,2024-09-30 00:00:00,30097400000.0,BAJFINANCE.NS
Other Operating Expenses,2024-09-30 00:00:00,9648600000.0,BAJFINANCE.NS
Depreciation And Amortization In Income Statement,2024-09-30 00:00:00,2100400000.0,BAJFINANCE.NS
Depreciation Income Statement,2024-09-30 00:00:00,2100400000.0,BAJFINANCE.NS
Total Revenue,2024-09-30 00:00:00,103168500000.0,BAJFINANCE.NS
Operating Revenue,2024-09-30 00:00:00,103168500000.0,BAJFINANCE.NS
Tax Effect Of Unusual Items,2024-06-30 00:00:00,0.0,BAJFINANCE.NS
Tax Rate For Calcs,2024-06-30 00:00:00,0.257033,BAJFINANCE.NS
Net Income From Continuing Operation Net Minority Interest,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Reconciled Depreciation,2024-06-30 00:00:00,1998100000.0,BAJFINANCE.NS
Net Interest Income,2024-06-30 00:00:00,83653200000.0,BAJFINANCE.NS
Interest Expense,2024-06-30 00:00:00,56838600000.0,BAJFINANCE.NS
Interest Income,2024-06-30 00:00:00,140491800000.0,BAJFINANCE.NS
Normalized Income,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Net Income From Continuing And Discontinued Operation,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Diluted Average Shares,2024-06-30 00:00:00,6199651347.0,BAJFINANCE.NS
Basic Average Shares,2024-06-30 00:00:00,6180063191.0,BAJFINANCE.NS
Diluted EPS,2024-06-30 00:00:00,6.31,BAJFINANCE.NS
Basic EPS,2024-06-30 00:00:00,6.33,BAJFINANCE.NS
Diluted NI Availto Com Stockholders,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Net Income Common Stockholders,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Net Income,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Minority Interests,2024-06-30 00:00:00,0.0,BAJFINANCE.NS
Net Income Including Noncontrolling Interests,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Net Income Continuous Operations,2024-06-30 00:00:00,39119800000.0,BAJFINANCE.NS
Tax Provision,2024-06-30 00:00:00,13533700000.0,BAJFINANCE.NS
Pretax Income,2024-06-30 00:00:00,52653500000.0,BAJFINANCE.NS
Gain On Sale Of Security,2024-06-30 00:00:00,1033800000.0,BAJFINANCE.NS
Operating Expense,2024-06-30 00:00:00,29167000000.0,BAJFINANCE.NS
Other Operating Expenses,2024-06-30 00:00:00,9421200000.0,BAJFINANCE.NS
Depreciation And Amortization In Income Statement,2024-06-30 00:00:00,1998100000.0,BAJFINANCE.NS
Depreciation Income Statement,2024-06-30 00:00:00,1998100000.0,BAJFINANCE.NS
Total Revenue,2024-06-30 00:00:00,98642100000.0,BAJFINANCE.NS
Operating Revenue,2024-06-30 00:00:00,98642100000.0,BAJFINANCE.NS
Tax Effect Of Unusual Items,2023-12-31 00:00:00,,BAJFINANCE.NS
Tax Rate For Calcs,2023-12-31 00:00:00,,BAJFINANCE.NS
Net Income From Continuing Operation Net Minority Interest,2023-12-31 00:00:00,,BAJFINANCE.NS
Reconciled Depreciation,2023-12-31 00:00:00,,BAJFINANCE.NS
Net Interest Income,2023-12-31 00:00:00,,BAJFINANCE.NS
Interest Expense,2023-12-31 00:00:00,,BAJFINANCE.NS
Interest Income,2023-12-31 00:00:00,,BAJFINANCE.NS
Normalized Income,2023-12-31 00:00:00,,BAJFINANCE.NS
